GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH,EVENT_AREA
4.204123000000000054e+00,6.504575599999999902e-01,3.093447400000000069e+00,3.000000000000000000e+00,3.814848484848484822e-01,1.455000264705884061e-01,3.017146070588234963e+01,1.383608422888377501e-02,-1.831963102684682279e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.433792963837960510e-02
5.248725900000000166e+00,3.663034000000000123e+00,5.282377600000000006e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.801924500000000151e+00,4.202185599999999965e+00,1.064103800000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.589499700000000182e+00,1.191063500000000053e+00,5.309081100000000442e-01,3.000000000000000000e+00,1.363404255319149161e-01,8.096842631578946015e-02,4.647971793684210695e+01,4.372613406485408027e-02,-1.889730213510238191e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.908479235707905591e-02
1.394593100000000030e+00,3.698949799999999843e+00,3.065188200000000140e+00,3.000000000000000000e+00,1.468571428571428417e+00,2.653750500000001677e-01,9.132635287499999777e+01,1.122195040912295216e-01,-3.915655049063240106e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.794151562885299978e-01
6.767877099999999757e+00,8.699162599999999967e-01,2.094265699999999786e+00,3.000000000000000000e+00,2.605833333333333335e-01,9.310202653061216971e-02,3.907660159183673443e+01,2.239369172739617830e-02,-2.947287953907255439e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.350657006398115006e-02
7.990797500000000220e+00,3.032621999999999818e-01,1.318304099999999979e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.784593799999999897e+00,1.201221799999999895e+00,4.576815599999999762e+00,3.000000000000000000e+00,5.808095238095236645e-01,1.016364272727272033e-01,6.999766609545453377e+01,4.225422240432863408e-02,-1.631020459106448384e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.491370026451852099e-02
7.774529499999999871e+00,5.745406100000000071e-02,6.759487100000000082e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.083224300000000362e+00,4.988551600000000086e+00,4.924373600000000017e+00,3.000000000000000000e+00,9.885000000000000453e-01,4.769224615384629745e-02,8.421347230769229952e+01,1.404238199004471110e-01,-6.112247830305179291e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.061478214639642287e-02
2.611107300000000020e+00,1.889603300000000097e+00,1.248710800000000010e+00,2.000000000000000000e+00,1.099499999999999922e+00,4.344545090909091578e-01,7.921945490909091347e+01,6.695708911167637389e-02,-1.666996755109237741e-02,5.000000000000000000e+00,1.635368821120972704e+00,2.743006376785491751e-01
1.515708700000000020e+00,4.453629499999999908e+00,3.385712600000000183e+00,3.000000000000000000e+00,1.799500000000000099e+00,3.295713714285716245e-01,9.211787957142857408e+01,1.303529037565250015e-01,-4.675519828363607078e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.217560126887742622e-01
6.889857099999999734e-01,1.378867899999999924e+00,9.841190600000000455e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
