GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH
7.910788100000000433e+00,1.026776600000000039e+00,4.692513600000000062e-01,1.000000000000000000e+00,1.641948051948051990e-01,4.703797468354442568e-02,9.979669816057049614e-01,4.203077613785458772e-02,-4.114883340471564566e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.347839399999999799e+00,1.079115400000000058e+00,1.419418499999999916e+00,1.000000000000000000e+00,2.046451596774193360e-01,5.659372812499992994e-02,9.972099675230461369e-01,3.299428068596883812e-02,-3.990935724981549415e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.948593700000000428e-01,1.953311000000000019e+00,3.166165400000000130e+00,3.000000000000000000e+00,9.541666666666667185e-01,1.732856142857141790e-01,9.998844866985336921e-01,6.453388049335757881e-02,-2.240821887869262966e-02,1.000000000000000000e+00,0.000000000000000000e+00
4.334359199999999746e+00,3.487942700000000062e+00,2.312721699999999991e+00,3.000000000000000000e+00,3.600571428571428534e-01,1.172972648648651084e-01,9.928506113395122457e-01,1.094483950562004371e-01,-3.302764754248459916e-02,1.000000000000000000e+00,1.422491565725552132e+00
5.629187599999999847e+00,1.978900700000000068e+00,1.842171100000000061e+00,1.000000000000000000e+00,2.315555537037036760e-01,4.862500357142852947e-02,9.994327456408248489e-01,7.167037710358102609e-02,-3.727074123181071258e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.888214300000000012e+00,2.402267000000000152e+00,1.724001600000000023e+00,3.000000000000000000e+00,2.977857142857143202e-01,6.947724999999983775e-02,9.995781727666517291e-01,8.480883407573772126e-02,-2.328842349420643179e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.090156600000000031e+00,2.126176599999999972e+00,2.817708000000000101e+00,3.000000000000000000e+00,9.855833249999998991e-01,1.277858428571426452e-01,9.997576154274344651e-01,7.036733602838037005e-02,-2.217478187537872195e-02,1.000000000000000000e+00,0.000000000000000000e+00
7.985959099999999644e+00,2.217011299999999963e-01,3.042934199999999922e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.211117499999999847e+00,1.378961099999999940e+00,4.148659699999999617e+00,3.000000000000000000e+00,5.256087000000000398e-01,8.500009599999995558e-02,9.998007595414436510e-01,4.815841162226001948e-02,-1.975673936550864998e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.265713499999999936e+00,3.513004299999999969e+00,4.906942400000000148e+00,1.000000000000000000e+00,8.109285785714286376e-01,5.900000624999976462e-02,9.995114897801871123e-01,1.064894874447936957e-01,-4.434105826250782367e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.106959800000000049e+00,4.556807600000000180e-01,2.854008700000000065e+00,2.000000000000000000e+00,4.627307653846153834e-01,2.530714857142857821e-01,9.177168383158902376e-01,1.617954698223510526e-02,-9.158272005914921618e-03,2.000000000000000000e+00,4.009651061694051499e+00
7.115851600000000499e-01,2.964177600000000190e+00,7.039330000000000309e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.024774599999999758e+00,2.661324299999999976e+00,1.711166600000000093e+00,1.000000000000000000e+00,2.232321410714285803e-01,4.656895517241387700e-02,9.993856569861491179e-01,9.328874783587483288e-02,-3.873027610345659150e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.837109199999999998e+00,7.076470299999999547e-01,1.955979300000000087e+00,1.000000000000000000e+00,3.419166638888888610e-01,-1.110523684210527537e-02,9.635418137277229622e-01,2.654004224299183132e-02,-1.650569392131289587e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.315051999999999666e+00,3.167730800000000180e+00,4.402708300000000158e-02,1.000000000000000000e+00,9.694696969696969813e-02,-5.676865970149250207e-02,9.988072619633270310e-01,1.367661152583508344e-01,-4.070022159845432946e-02,1.000000000000000000e+00,0.000000000000000000e+00
7.539136400000000293e+00,3.892862799999999845e-01,7.148439300000000163e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.469075199999999803e+00,1.347282899999999950e+00,3.845880499999999813e+00,3.000000000000000000e+00,3.890967741935484336e-01,6.266666969696986500e-02,9.997235323260360573e-01,4.357705681811085280e-02,-3.340350871091456869e-02,1.000000000000000000e+00,0.000000000000000000e+00
6.392088900000000073e+00,7.073081700000000138e-01,1.304254100000000083e+00,1.000000000000000000e+00,2.097833333333333217e-01,-1.195322790322581180e-01,9.690107518957995492e-01,1.776514523183241046e-02,-2.328643978825862410e-02,1.000000000000000000e+00,0.000000000000000000e+00
