GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH,EVENT_AREA
7.524337799999999632e+00,9.599829899999999805e-01,1.712579099999999910e+00,3.000000000000000000e+00,2.296000000000000263e-01,7.737499999999992994e-02,4.343774666071428925e+01,2.815946316700720584e-02,-3.454892424968343534e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.425094350219438422e-02
3.015270199999999789e+00,2.014478899999999850e+00,4.444483200000000078e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.854632099999999895e+00,2.109392199999999828e+00,2.005051599999999823e+00,2.000000000000000000e+00,6.605789473684210433e-01,1.586500750000001125e-01,7.911087709999999618e+01,7.312616941090396838e-02,-2.326018353561597543e-02,1.000000000000000000e+00,0.000000000000000000e+00,9.351733929797473310e-02
5.714136100000000162e+00,1.203346299999999980e+00,1.338776100000000024e+00,3.000000000000000000e+00,2.056612903225805700e-01,5.982541269841266246e-02,5.725794900634920026e+01,4.674622247575632716e-02,-3.612859961245553503e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.319798343359827569e-02
8.017283400000000171e+00,3.261756200000000216e+00,2.927599700000000152e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.205338999999999938e+00,4.022985399999999823e-01,3.595076800000000183e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.420186499999999796e+00,4.602545700000000295e+00,4.937946300000000122e+00,1.000000000000000000e+00,8.114000000000000101e-01,3.549996249999970432e-02,8.030589562500000511e+01,1.314059350318397268e-01,-6.619212824422145147e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.190657164823632541e-02
9.457426099999999280e+00,1.167874899999999938e+00,3.305855999999999906e+00,3.000000000000000000e+00,3.146749999999999825e-01,8.397558292682924530e-02,4.264357992682927545e+01,2.365863517508229666e-02,-3.686700670398158908e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.919160488446745055e-02
2.879883299999999924e+00,4.977794600000000180e+00,4.002086799999999833e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300936199999999765e+00,4.964973399999999870e+00,4.692679899999999904e+00,3.000000000000000000e+00,9.649166666666665337e-01,5.738459230769221014e-02,8.588928738461540036e+01,1.418502239830680689e-01,-5.679509258872042499e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.717746504762448750e-02
7.154328800000000044e+00,3.656034899999999865e+00,2.861954700000000074e+00,1.000000000000000000e+00,3.594285714285713751e-01,3.974997777777760505e-02,7.927088830555555887e+01,1.157221711574955431e-01,-5.143114343808642686e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.337810166260655825e-02
2.142897399999999841e+00,2.523087999999999997e+00,3.031725199999999898e+00,3.000000000000000000e+00,8.899230769230771498e-01,1.498571214285715492e-01,8.448373028571428733e+01,8.284199243572773486e-02,-2.652757792873856185e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.167218691860300195e-02
5.250799200000000333e+00,7.586848699999999557e-01,3.338477099999999975e+00,3.000000000000000000e+00,3.717058823529411637e-01,1.271428457142858293e-01,3.462426097142857628e+01,1.590284075060494767e-02,-2.224435672036997186e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.354602705233972970e-02
8.899918599999999458e+00,4.597228499999999940e+00,3.254961699999999958e+00,1.000000000000000000e+00,4.176666666666665195e-01,3.483871290322573117e-02,8.112126716129031934e+01,1.386109543736417093e-01,-6.294898407724801304e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.092047186107267795e-02
1.919292199999999893e+00,4.560899700000000223e+00,3.601424900000000040e+00,3.000000000000000000e+00,1.520857142857142907e+00,2.189999624999998118e-01,9.109888562500000830e+01,1.329747914503241479e-01,-4.797303668585684716e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.467690099235562373e-01
7.518801700000000032e+00,1.127719200000000033e+00,6.992841400000000540e-01,3.000000000000000000e+00,1.708800000000000041e-01,5.527637499999997484e-02,5.326828879868421041e+01,4.595782090375125778e-02,-4.151860403138361855e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.104403222736192708e-02
